,address,commission_district,date_and_time,flood_depth_measured_here,flood_type,has_this_location_flooded,municipality,flood_depth_measured_here_other,what_properties_are_flooded_oth,water_depth_in_inches,what_properties_are_flooded,zip_code,temperature,atmospheric_pressure,air_humidity,wind_speed,wind_gust,wind_direction,longitude,latitude,horizontal_accuracy,date,geometry
242,"1201-1299 SW 128th Ter, Hollywood, Florida, 33027",1,"Tue, 08 Dec 2020 18:09:44 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33027,,,,,,,-80.31793611,25.99814722,,2020-12-08 18:09:44,POINT (-80.317936112 25.9981472220001)
243,"1201-1299 SW 128th Ter, Hollywood, Florida, 33027",1,"Tue, 08 Dec 2020 18:11:26 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33027,,,,,,,-80.31802778,25.99815555,,2020-12-08 18:11:26,POINT (-80.3180277769999 25.998155555)
244,"1201-1299 SW 128th Ter, Hollywood, Florida, 33027",1,"Tue, 08 Dec 2020 18:15:02 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33027,,,,,,,-80.31793611,25.99814722,,2020-12-08 18:15:02,POINT (-80.317936112 25.9981472220001)
245,"1201-1299 SW 128th Ter, Hollywood, Florida, 33027",1,"Tue, 08 Dec 2020 18:22:45 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33027,,,,,,,-80.31793611,25.99814722,,2020-12-08 18:22:45,POINT (-80.317936112 25.9981472220001)
246,"2801 NW 35th Ter, Fort Lauderdale, Florida, 33311",9,"Tue, 08 Dec 2020 18:54:19 GMT",,rainfall_storm_hurricane,,LAUDERDALE LAKES,,,,,33311,,,,,,,-80.19559185,26.16036282,,2020-12-08 18:54:19,POINT (-80.1955918479999 26.1603628240001)
247,Welleby Elementary School,9,"Wed, 09 Dec 2020 19:03:04 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33351,,,,,,,-80.28313,26.16713,,2020-12-09 19:03:04,POINT (-80.28313 26.16713)
248,"W Sunrise Blvd & NW 56th Ave, Fort Lauderdale, Florida, 33313",9,"Wed, 09 Dec 2020 19:07:56 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33313,,,,,,,-80.22420992,26.13591006,,2020-12-09 19:07:56,POINT (-80.2242099219999 26.135910058)
249,"9912-9998 W Commercial Blvd, Fort Lauderdale, Florida, 33351",3,"Wed, 09 Dec 2020 19:11:26 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33351,,,,,,,-80.28403048,26.19353813,,2020-12-09 19:11:26,POINT (-80.284030475 26.193538135)
250,"Sunset Strip & NW 89th Ave, Fort Lauderdale, Florida, 33322",9,"Wed, 09 Dec 2020 19:16:19 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.26875991,26.15291002,,2020-12-09 19:16:19,POINT (-80.268759905 26.152910025)
251,"10900 SW 48th St, Fort Lauderdale, Florida, 33328",5,"Thu, 10 Dec 2020 20:41:12 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.29294496,26.05991599,,2020-12-10 20:41:12,POINT (-80.2929449639999 26.0599159940001)
252,"10900 SW 48th St, Fort Lauderdale, Florida, 33328",5,"Thu, 10 Dec 2020 20:43:14 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.29294496,26.05991599,,2020-12-10 20:43:14,POINT (-80.2929449639999 26.0599159940001)
253,"10900 SW 48th St, Fort Lauderdale, Florida, 33328",5,"Thu, 10 Dec 2020 20:44:37 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.29294496,26.05991599,,2020-12-10 20:44:37,POINT (-80.2929449639999 26.0599159940001)
254,"10900 SW 48th St, Fort Lauderdale, Florida, 33328",5,"Thu, 10 Dec 2020 20:45:34 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.29294496,26.05991599,,2020-12-10 20:45:34,POINT (-80.2929449639999 26.0599159940001)
255,"10900 SW 48th St, Fort Lauderdale, Florida, 33328",5,"Thu, 10 Dec 2020 20:46:48 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.29294496,26.05991599,,2020-12-10 20:46:48,POINT (-80.2929449639999 26.0599159940001)
256,"891 SW 120th Way, Fort Lauderdale, Florida, 33325",5,"Fri, 11 Dec 2020 14:02:02 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.30966611,26.10881693,,2020-12-11 14:02:02,POINT (-80.3096661069999 26.1088169330001)
257,"920 S Flamingo Rd, Fort Lauderdale, Florida, 33325",5,"Fri, 11 Dec 2020 14:05:10 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.31211897,26.10861397,,2020-12-11 14:05:10,POINT (-80.312118972 26.1086139720001)
258,"910 S Flamingo Rd, Fort Lauderdale, Florida, 33325",5,"Fri, 11 Dec 2020 14:06:39 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.312707,26.10838997,,2020-12-11 14:06:39,POINT (-80.312707 26.1083899720001)
259,"950 S Flamingo Rd, Fort Lauderdale, Florida, 33325",5,"Fri, 11 Dec 2020 14:07:58 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.313338,26.10830297,,2020-12-11 14:07:58,POINT (-80.313338 26.108302972)
260,"910 S Flamingo Rd, Fort Lauderdale, Florida, 33325",5,"Fri, 11 Dec 2020 14:08:57 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.312707,26.10838997,,2020-12-11 14:08:57,POINT (-80.312707 26.1083899720001)
261,"33325, Fort Lauderdale, Florida",5,"Fri, 11 Dec 2020 14:10:45 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.312285,26.10819,,2020-12-11 14:10:45,POINT (-80.312285 26.10819)
262,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 14:51:54 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 14:51:54,POINT (-80.125549892 26.151490047)
263,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:02:13 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:02:13,POINT (-80.125549892 26.151490047)
264,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:03:19 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:03:19,POINT (-80.125549892 26.151490047)
265,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:27:31 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:27:31,POINT (-80.125549892 26.151490047)
266,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:30:15 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:30:15,POINT (-80.125549892 26.151490047)
267,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:32:26 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:32:26,POINT (-80.125549892 26.151490047)
268,"NE 17th Ter & NE 18th St, Fort Lauderdale, Florida, 33305",4,"Fri, 11 Dec 2020 15:33:46 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12554989,26.15149005,,2020-12-11 15:33:46,POINT (-80.125549892 26.151490047)
269,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:02:48 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:02:48,POINT (-80.19291 26.11283)
270,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:05:22 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:05:22,POINT (-80.19291 26.11283)
271,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:07:19 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:07:19,POINT (-80.19291 26.11283)
272,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:09:10 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:09:10,POINT (-80.19291 26.11283)
273,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:11:23 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:11:23,POINT (-80.19291 26.11283)
274,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:13:12 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:13:12,POINT (-80.19291 26.11283)
275,"Melrose Park, Fort Lauderdale, Florida",8,"Tue, 22 Dec 2020 16:14:47 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.19291,26.11283,,2020-12-22 16:14:47,POINT (-80.19291 26.11283)
276,"9300 NW 39th St, Fort Lauderdale, Florida, 33351",9,"Tue, 22 Dec 2020 16:24:18 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33351,,,,,,,-80.273997,26.174018,,2020-12-22 16:24:18,POINT (-80.2739970009999 26.1740180040001)
277,"NW 39th St, Fort Lauderdale, Florida, 33323",9,"Tue, 22 Dec 2020 16:33:26 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.29911991,26.17432005,,2020-12-22 16:33:26,POINT (-80.299119912 26.174320046)
278,"4381 SW 100th Ter, Fort Lauderdale, Florida, 33328",5,"Tue, 22 Dec 2020 18:32:34 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33328,,,,,,,-80.28130703,26.06615301,,2020-12-22 18:32:34,POINT (-80.281307027 26.066153011)
279,"1311-1409 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:13:11 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39877144,26.01732668,,2020-12-22 19:13:11,POINT (-80.3987714369999 26.017326676)
280,"NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:17:26 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39856491,26.00872004,,2020-12-22 19:17:26,POINT (-80.398564907 26.008720042)
281,"100-298 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:19:59 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39857832,26.0094203,,2020-12-22 19:19:59,POINT (-80.398578318 26.009420305)
282,"1201-1249 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:24:21 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39863464,26.01463905,,2020-12-22 19:24:21,POINT (-80.398634644 26.0146390520001)
283,"1360 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:25:46 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39897529,26.01768823,,2020-12-22 19:25:46,POINT (-80.3989752849999 26.017688235)
284,"300-498 NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:29:31 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39863464,26.01063522,,2020-12-22 19:29:31,POINT (-80.398634644 26.010635221)
285,"NW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:30:12 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39856491,26.00872004,,2020-12-22 19:30:12,POINT (-80.398564907 26.008720042)
286,"300-398 SW 187th Ave, Hollywood, Florida, 33029",1,"Tue, 22 Dec 2020 19:31:17 GMT",,rainfall_storm_hurricane,,PEMBROKE PINES,,,,,33029,,,,,,,-80.39781724,26.00409864,,2020-12-22 19:31:17,POINT (-80.397817241 26.004098636)
287,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:40:18 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:40:18,POINT (-80.323865972 26.1424849910001)
288,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:42:55 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:42:55,POINT (-80.323865972 26.1424849910001)
289,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:43:57 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:43:57,POINT (-80.323865972 26.1424849910001)
290,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:44:50 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:44:50,POINT (-80.323865972 26.1424849910001)
291,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:45:41 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:45:41,POINT (-80.323865972 26.1424849910001)
292,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:46:21 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:46:21,POINT (-80.323865972 26.1424849910001)
293,"1457 NW 129th Way, Fort Lauderdale, Florida, 33323",5,"Tue, 22 Dec 2020 20:47:02 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.32386597,26.14248499,,2020-12-22 20:47:02,POINT (-80.323865972 26.1424849910001)
294,"SW 17th Ave, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 18:42:19 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.16353545,26.10387282,,2020-12-23 18:42:19,POINT (-80.163535452 26.103872822)
295,"1500-1798 SW 17th St, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 19:09:13 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.16524661,26.0992592,,2020-12-23 19:09:13,POINT (-80.1652466139999 26.099259202)
296,"Shady Banks, Fort Lauderdale, Florida",8,"Wed, 23 Dec 2020 19:10:15 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.16567577,26.09910504,,2020-12-23 19:10:15,POINT (-80.165675767 26.0991050440001)
297,"1636 NE 17th Ave, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 19:56:17 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12598139,26.1492529,,2020-12-23 19:56:17,POINT (-80.125981392 26.149252898)
298,"1636 NE 17th Ave, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:00:10 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12603504,26.149304,,2020-12-23 20:00:10,POINT (-80.126035037 26.149304004)
299,"1637 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:08:06 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12550396,26.14932001,,2020-12-23 20:08:06,POINT (-80.125503959 26.1493200140001)
300,"1637 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:28:07 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12550396,26.14932001,,2020-12-23 20:28:07,POINT (-80.125503959 26.1493200140001)
301,"1637 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:29:44 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12550396,26.14932001,,2020-12-23 20:29:44,POINT (-80.125503959 26.1493200140001)
302,"1637 NE 17th Ter, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:31:55 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12550396,26.14932001,,2020-12-23 20:31:55,POINT (-80.125503959 26.1493200140001)
303,"1640 NE 17th Ave, Fort Lauderdale, Florida, 33305",4,"Wed, 23 Dec 2020 20:46:57 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12603898,26.14944101,,2020-12-23 20:46:57,POINT (-80.126038976 26.1494410070001)
304,"SW 28th Ter, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 21:09:17 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.18230992,26.12096504,,2020-12-23 21:09:17,POINT (-80.182309919 26.120965041)
305,"301-355 SW 28th Ter, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 21:11:24 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.18225627,26.1179758,,2020-12-23 21:11:24,POINT (-80.182256275 26.1179758000001)
306,"SW 28th Way, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 21:12:36 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.18039491,26.11603005,,2020-12-23 21:12:36,POINT (-80.1803949059999 26.1160300490001)
307,"354-398 SW 28th Ave, Fort Lauderdale, Florida, 33312",8,"Wed, 23 Dec 2020 21:15:16 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.18034126,26.11741431,,2020-12-23 21:15:16,POINT (-80.180341262 26.117414307)
308,"2020 Wilton Dr, Fort Lauderdale, Florida, 33305",4,"Thu, 24 Dec 2020 14:22:56 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33305,,,,,,,-80.14001102,26.153827,,2020-12-24 14:22:56,POINT (-80.140011022 26.153827005)
309,"2020 Wilton Dr, Fort Lauderdale, Florida, 33305",4,"Thu, 24 Dec 2020 14:24:23 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33305,,,,,,,-80.14001102,26.153827,,2020-12-24 14:24:23,POINT (-80.140011022 26.153827005)
310,"2020 Wilton Dr, Fort Lauderdale, Florida, 33305",4,"Thu, 24 Dec 2020 14:25:40 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33305,,,,,,,-80.14001102,26.153827,,2020-12-24 14:25:40,POINT (-80.140011022 26.153827005)
311,"2214 NW 3rd Ave, Fort Lauderdale, Florida, 33311",8,"Thu, 24 Dec 2020 14:28:58 GMT",,rainfall_storm_hurricane,,WILTON MANORS,,,,,33311,,,,,,,-80.14793963,26.15623162,,2020-12-24 14:28:58,POINT (-80.147939631 26.1562316160001)
312,"526 NE 8 St, Fort Lauderdale, Florida, 33304",4,"Thu, 24 Dec 2020 15:47:55 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33304,,,,,,,-80.1389172,26.13337289,,2020-12-24 15:47:55,POINT (-80.1389171989999 26.1333728920001)
313,Sawgrass Mills Parking,9,"Thu, 24 Dec 2020 17:14:58 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.321,26.15444,,2020-12-24 17:14:58,POINT (-80.321 26.1544400000001)
314,Sawgrass Mills,9,"Thu, 24 Dec 2020 17:16:52 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33323,,,,,,,-80.31979837,26.15546835,,2020-12-24 17:16:52,POINT (-80.31979837 26.155468349)
315,"6300 Stirling Rd, Fort Lauderdale, Florida, 33314",7,"Thu, 24 Dec 2020 17:21:47 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33024,,,,,,,-80.23034497,26.04563499,,2020-12-24 17:21:47,POINT (-80.230344972 26.045634992)
316,"Stirling Rd, Fort Lauderdale, Florida, 33314",5,"Thu, 24 Dec 2020 17:24:34 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33314,,,,,,,-80.23044153,26.04608508,,2020-12-24 17:24:34,POINT (-80.2304415309999 26.0460850810001)
317,"Stirling Rd, Fort Lauderdale, Florida, 33314",5,"Thu, 24 Dec 2020 17:26:04 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33314,,,,,,,-80.23149296,26.04603688,,2020-12-24 17:26:04,POINT (-80.2314929569999 26.046036885)
318,"600 SW 28th Ter, Fort Lauderdale, Florida, 33312",8,"Thu, 24 Dec 2020 17:36:18 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33312,,,,,,,-80.18100297,26.113574,,2020-12-24 17:36:18,POINT (-80.181002971 26.113574005)
319,"SW 55th Ave & SW 48th St, Fort Lauderdale, Florida, 33314",5,"Thu, 24 Dec 2020 17:40:19 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33314,,,,,,,-80.22068994,26.06243006,,2020-12-24 17:40:19,POINT (-80.220689942 26.062430062)
320,"9100 NW 26th St, Fort Lauderdale, Florida, 33322",9,"Mon, 04 Jan 2021 21:28:20 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.27079402,26.157169,,2021-01-04 21:28:20,POINT (-80.270794025 26.157168996)
321,"13600 W State Road 84, Fort Lauderdale, Florida, 33325",5,"Tue, 05 Jan 2021 13:33:47 GMT",,rainfall_storm_hurricane,,DAVIE,,,,,33325,,,,,,,-80.33102102,26.11613199,,2021-01-05 13:33:47,POINT (-80.3310210169999 26.116131994)
322,"147 Cameron Ct, Fort Lauderdale, Florida, 33326",1,"Tue, 05 Jan 2021 13:36:16 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33326,,,,,,,-80.38911599,26.11841698,,2021-01-05 13:36:16,POINT (-80.389115988 26.1184169840001)
323,"9100 NW 26th St, Fort Lauderdale, Florida, 33322",9,"Tue, 05 Jan 2021 13:40:25 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.27079402,26.157169,,2021-01-05 13:40:25,POINT (-80.270794025 26.157168996)
324,"9100 NW 26th St, Fort Lauderdale, Florida, 33322",9,"Tue, 05 Jan 2021 13:41:58 GMT",,rainfall_storm_hurricane,,SUNRISE,,,,,33322,,,,,,,-80.27079402,26.157169,,2021-01-05 13:41:58,POINT (-80.270794025 26.157168996)
325,"673-799 Willow Bend Rd, Fort Lauderdale, Florida, 33327",1,"Wed, 17 Mar 2021 19:49:27 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33327,,,,,,,-80.41163611,26.12925,,2021-03-17 19:49:27,POINT (-80.411636111 26.12925)
326,"684 Willow Bend Rd, Fort Lauderdale, Florida, 33327",1,"Wed, 17 Mar 2021 19:52:09 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33327,,,,,,,-80.41187897,26.129363,,2021-03-17 19:52:09,POINT (-80.411878974 26.1293629950001)
327,"673-799 Willow Bend Rd, Fort Lauderdale, Florida, 33327",1,"Thu, 18 Mar 2021 14:26:03 GMT",,rainfall_storm_hurricane,,WESTON,,,,,33327,,,,,,,-80.41163611,26.12925,,2021-03-18 14:26:03,POINT (-80.411636111 26.12925)
328,"1645-1699 NE 12th Ter, Fort Lauderdale, Florida, 33305",4,"Thu, 16 Dec 2021 23:11:39 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.13149167,26.149625,,2021-12-16 23:11:39,POINT (-80.131491666 26.1496250000001)
329,"1647 NE 12th Ter, Apt 19, Fort Lauderdale, Florida, 33305",4,"Fri, 17 Dec 2021 22:56:24 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.13167534,26.14955157,,2021-12-17 22:56:24,POINT (-80.131675343 26.149551575)
330,"1647 NE 12th Ter, Fort Lauderdale, Florida, 33305",4,"Fri, 17 Dec 2021 23:00:41 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.13165278,26.14962778,,2021-12-17 23:00:41,POINT (-80.131652777 26.149627777)
331,"1647 NE 12th Ter, Apt 19, Fort Lauderdale, Florida, 33305",4,"Fri, 17 Dec 2021 23:03:57 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.13167828,26.14942915,,2021-12-17 23:03:57,POINT (-80.1316782769999 26.1494291490001)
332,"35 N Dixie Hwy, Pompano Beach, Florida, 33060",4,"Mon, 06 Jun 2022 15:42:27 GMT",,rainfall_storm_hurricane,,POMPANO BEACH,,,,,33060,,,,,,,-80.126725,26.23209722,,2022-06-06 15:42:27,POINT (-80.126725 26.232097222)
333,"2911 NE 53rd St, Pompano Beach, Florida, 33064",4,"Tue, 07 Jun 2022 14:52:00 GMT",,rainfall_storm_hurricane,,LIGHTHOUSE POINT,,,,,33064,,,,,,,-80.08355077,26.29677323,,2022-06-07 14:52:00,POINT (-80.083550773 26.2967732270001)
334,"Poinsettia Heights, Fort Lauderdale, Florida",4,"Thu, 24 Aug 2017 12:20:02 GMT",,rainfall_storm_hurricane,,FORT LAUDERDALE,,,,,33305,,,,,,,-80.12527,26.14884,,2017-08-24 12:20:02,POINT (-80.12527 26.14884)
335,"390 SW 56th Ave, Fort Lauderdale, Florida, 33317",5,"Thu, 24 Aug 2017 13:07:42 GMT",,rainfall_storm_hurricane,,PLANTATION,,,,,33317,,,,,,,-80.22479167,26.11572778,,2017-08-24 13:07:42,POINT (-80.224791666 26.1157277780001)
336,"326-334 SE 3rd Ave, Dania, Florida, 33004",6,"Thu, 24 Aug 2017 14:00:54 GMT",,rainfall_storm_hurricane,,DANIA BEACH,,,,,33004,,,,,,,-80.1394028,26.0452302,,2017-08-24 14:00:54,POINT (-80.1394027969999 26.0452302030001)
337,"335-399 SE 3rd Ave, Dania, Florida, 33004",6,"Thu, 24 Aug 2017 14:02:05 GMT",,rainfall_storm_hurricane,,DANIA BEACH,,,,,33004,,,,,,,-80.13937175,26.04516404,,2017-08-24 14:02:05,POINT (-80.139371747 26.0451640430001)
338,"1700 Taylor St, Hollywood, Florida, 33020",6,"Thu, 24 Aug 2017 18:49:11 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33020,,,,,,,-80.14154773,26.01429098,,2017-08-24 18:49:11,POINT (-80.1415477259999 26.014290977)
339,"330 N Federal Hwy, Hollywood, Florida, 33020",6,"Thu, 24 Aug 2017 18:50:22 GMT",,rainfall_storm_hurricane,,HOLLYWOOD,,,,,33020,,,,,,,-80.14331944,26.013825,,2017-08-24 18:50:22,POINT (-80.143319444 26.013825)
