,original_reference_no,original_request_type,original_status,original_priority,original_assigned_dept,original_date,formatted,lat,lon,geometry
197,W074007-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:51 AM,"515 Vilabella Avenue, Coral Gables, FL 33146, United States of America",25.72964125,-80.26463466,POINT (-80.26463466 25.72964125)
198,W074006-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:49 AM,"4200 Anderson Road, Coral Gables, FL 33146, United States of America",25.73282315,-80.27039604,POINT (-80.27039604 25.73282315)
199,W074004-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:20 AM,"4200 Toledo Street, Coral Gables, FL 33146, United States of America",25.73258795,-80.27119614,POINT (-80.27119614 25.73258795)
200,W074002-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:15 AM,"705 San Antonio Avenue, Coral Gables, FL 33146, United States of America",25.7339941,-80.26852274,POINT (-80.26852274 25.7339941)
201,W074001-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:12 AM,"548 Vilabella Avenue, Coral Gables, FL 33146, United States of America",25.729131,-80.26589851,POINT (-80.26589851 25.729131)
202,W074000-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:09 AM,"4831 Biltmore Drive, Coral Gables, FL 33146, United States of America",25.7267134,-80.26812018,POINT (-80.26812018 25.7267134)
203,W073999-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 11:05 AM,"5120 Orduna Drive, Coral Gables, FL 33146, United States of America",25.72384635,-80.2680812,POINT (-80.2680812 25.72384635)
204,W073998-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:56 AM,"754 Jeronimo Drive, Coral Gables, FL 33146, United States of America",25.7282193,-80.26902349,POINT (-80.26902349 25.7282193)
205,W073997-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:51 AM,"4417 Granada Boulevard, Coral Gables, FL 33146, United States of America",25.7308614,-80.2717226,POINT (-80.2717226 25.7308614)
206,W073996-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:47 AM,"750 Jeronimo Drive, Coral Gables, FL 33146, United States of America",25.728339,-80.26884097,POINT (-80.26884097 25.728339)
207,W073995-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:45 AM,"704 Jeronimo Drive, Coral Gables, FL 33146, United States of America",25.7294441,-80.26754363,POINT (-80.26754363 25.7294441)
208,W073994-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:28 AM,"600 Jeronimo Drive, Coral Gables, FL 33146, United States of America",25.73016725,-80.26633976,POINT (-80.26633976 25.73016725)
209,W073993-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:20 AM,"4300 Palmarito Street, Coral Gables, FL 33146, United States of America",25.73220315,-80.26864989,POINT (-80.26864989 25.73220315)
210,W073992-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:17 AM,"524 Altara Avenue, Coral Gables, FL 33146, United States of America",25.73259675,-80.26523771,POINT (-80.26523771 25.73259675)
211,W073991-121422,Storm Drain/ Catch Basin,Completed,Low,PW - Utilities,12/14/2022 10:11 AM,"429 Cadagua Avenue, Coral Gables, FL 33146, United States of America",25.7282958,-80.26292582,POINT (-80.26292582 25.7282958)
212,W073990-121422,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:06 AM,"540 Altara Avenue, Coral Gables, FL 33146, United States of America",25.7326312,-80.26583217,POINT (-80.26583217 25.7326312)
213,W073989-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 10:01 AM,"4300 Toledo Street, Coral Gables, FL 33146, United States of America",25.7318231,-80.27124436,POINT (-80.27124436 25.7318231)
214,W073988-121422,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/14/2022 9:57 AM,"634 Altara Avenue, Coral Gables, FL 33146, United States of America",25.73248375,-80.26753838,POINT (-80.26753838 25.73248375)
215,W073969-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 4:48 PM,"4804 Biltmore Drive, Coral Gables, FL 33146, United States of America",25.7265502,-80.2687158,POINT (-80.2687158 25.7265502)
216,W073966-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 4:29 PM,"1307 Campo Sano Avenue, Coral Gables, FL 33146, United States of America",25.72480505,-80.27814877,POINT (-80.27814877 25.72480505)
217,W073965-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 4:27 PM,"604 San Esteban Avenue, Coral Gables, FL 33146, United States of America",25.7307912,-80.26679864,POINT (-80.26679864 25.7307912)
218,W073964-121322,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 4:14 PM,"412 Vilabella Avenue, Coral Gables, FL 33146, United States of America",25.7293106,-80.26241421,POINT (-80.26241421 25.7293106)
219,W073963-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 4:10 PM,"4725 Riviera Drive, Coral Gables, FL 33146, United States of America",25.72827905,-80.26372907,POINT (-80.26372907 25.72827905)
220,W073952-121322,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 1:53 PM,"708 Vilabella Avenue, Coral Gables, FL 33146, United States of America",25.7280833,-80.2673884,POINT (-80.2673884 25.7280833)
221,W073951-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 1:47 PM,"5665 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7127011,-80.2805466,POINT (-80.2805466 25.7127011)
222,W073950-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 1:36 PM,"5300 Carillo Street, Coral Gables, FL 33146, United States of America",25.7209677,-80.2739401,POINT (-80.2739401 25.7209677)
223,W073949-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 1:27 PM,"726 Paradiso Avenue, Coral Gables, FL 33146, United States of America",25.72469915,-80.26985907,POINT (-80.26985907 25.72469915)
224,W073938-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 12:00 PM,"4601 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7270394,-80.2628202,POINT (-80.2628202 25.7270394)
225,W073936-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:57 AM,"4000 Monserrate Street, Coral Gables, FL 33146, United States of America",25.7339308,-80.26953541,POINT (-80.26953541 25.7339308)
226,W073935-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:35 AM,"4125 Monserrate Street, Coral Gables, FL 33146, United States of America",25.7332125,-80.26882532,POINT (-80.26882532 25.7332125)
227,W073934-121322,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:29 AM,"4300 Riviera Drive, Coral Gables, FL 33146, United States of America",25.73181495,-80.26443405,POINT (-80.26443405 25.73181495)
228,W073931-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:18 AM,"600 Altara Avenue, Coral Gables, FL 33146, United States of America",25.73259305,-80.26648848,POINT (-80.26648848 25.73259305)
229,W073930-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:12 AM,"760 San Esteban Avenue, Coral Gables, FL 33146, United States of America",25.7287583,-80.26958276,POINT (-80.26958276 25.7287583)
230,W073929-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 11:08 AM,"690 Bird Road, Coral Gables, FL 33146, United States of America",25.73445,-80.26718,POINT (-80.26718 25.73445)
231,W073928-121322,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/13/2022 10:55 AM,"540 San Esteban Avenue, Coral Gables, FL 33146, United States of America",25.73096345,-80.26576059,POINT (-80.26576059 25.73096345)
232,W073905-121222,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 4:45 PM,"721 Sistina Avenue, Coral Gables, FL 33146, United States of America",25.7246345,-80.26941452,POINT (-80.26941452 25.7246345)
233,W073904-121222,Storm Drain / Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,12/12/2022 4:41 PM,"4901 University Drive, Coral Gables, FL 33146, United States of America",25.72552655,-80.27274039,POINT (-80.27274039 25.72552655)
234,W073903-121222,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 4:39 PM,"4424 Granada Boulevard, Coral Gables, FL 33146, United States of America",25.7305279,-80.27234759,POINT (-80.27234759 25.7305279)
235,W073902-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 4:36 PM,"412 Vilabella Avenue, Coral Gables, FL 33146, United States of America",25.7293106,-80.26241421,POINT (-80.26241421 25.7293106)
236,W073900-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 4:02 PM,"4311 Monserrate Street, Coral Gables, FL 33146, United States of America",25.7316795,-80.26896738,POINT (-80.26896738 25.7316795)
237,W073899-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 3:59 PM,"412 Alminar Avenue, Coral Gables, FL 33146, United States of America",25.7285884,-80.26236831,POINT (-80.26236831 25.7285884)
238,W073898-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 3:00 PM,"5440 Granada Boulevard, Coral Gables, FL 33146, United States of America",25.71961483,-80.271239,POINT (-80.271239 25.71961483)
239,W073897-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:52 PM,"4501 Granada Boulevard, Coral Gables, FL 33146, United States of America",25.73028145,-80.27146122,POINT (-80.27146122 25.73028145)
240,W073896-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:50 PM,"5151 San Amaro Drive, Coral Gables, FL 33146, United States of America",25.72251776,-80.28097595,POINT (-80.28097595 25.72251776)
241,W073894-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:30 PM,"5135 Orduna Drive, Coral Gables, FL 33146, United States of America",25.72351325,-80.26721611,POINT (-80.26721611 25.72351325)
242,W073893-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:27 PM,"4200 Anderson Road, Coral Gables, FL 33146, United States of America",25.73282315,-80.27039604,POINT (-80.27039604 25.73282315)
243,W073892-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:24 PM,"541 San Esteban Avenue, Coral Gables, FL 33146, United States of America",25.7314442,-80.26575652,POINT (-80.26575652 25.7314442)
244,W073890-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:09 PM,"631 San Lorenzo Avenue, Coral Gables, FL 33146, United States of America",25.73196725,-80.26740865,POINT (-80.26740865 25.73196725)
245,W073889-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:06 PM,"700 San Esteban Avenue, Coral Gables, FL 33146, United States of America",25.7300102,-80.26800406,POINT (-80.26800406 25.7300102)
246,W073888-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:02 PM,"6710 South Le Jeune Road, Coral Gables, FL 33146, United States of America",25.70872405,-80.26115902,POINT (-80.26115902 25.70872405)
247,W073887-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 2:00 PM,"4200 Anderson Road, Coral Gables, FL 33146, United States of America",25.73282315,-80.27039604,POINT (-80.27039604 25.73282315)
248,W073875-121222,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/12/2022 11:13 AM,"4150 Monserrate Street, Coral Gables, FL 33146, United States of America",25.7332616,-80.26945434,POINT (-80.26945434 25.7332616)
249,W073785-120822,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 2:59 PM,"4601 South Le Jeune Road, Coral Gables, FL 33146-1814, United States of America",25.72914,-80.261567,POINT (-80.261567 25.72914)
250,W073784-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 2:56 PM,"4531 Ponce De Leon Blvd Cu, Coral Gables, FL 33146, United States of America",25.729631,-80.260031,POINT (-80.260031 25.729631)
251,W073783-120822,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 2:52 PM,"279 Greco Avenue, Coral Gables, FL 33146, United States of America",25.7306141,-80.2597025,POINT (-80.2597025 25.7306141)
252,W073775-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 11:55 AM,"200 Bird Road, Coral Gables, FL 33146-1403, United States of America",25.734032,-80.259014,POINT (-80.259014 25.734032)
253,W073772-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 11:45 AM,"4525 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7299651,-80.25982465,POINT (-80.25982465 25.7299651)
254,W073771-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 11:41 AM,"3616 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",25.73866095,-80.25894921,POINT (-80.25894921 25.73866095)
255,W073770-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 11:38 AM,"163 South Dixie Highway, Coral Gables, FL 33133, United States of America",25.7299762,-80.2578495,POINT (-80.2578495 25.7299762)
256,W073768-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 10:49 AM,"3929 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",25.7354993,-80.2584238,POINT (-80.2584238 25.7354993)
257,W073767-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 10:46 AM,"4041 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7340683,-80.2582272,POINT (-80.2582272 25.7340683)
258,W073765-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 10:40 AM,"4525 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7299651,-80.25982465,POINT (-80.25982465 25.7299651)
259,W073764-120822,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 10:37 AM,"4075 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7339249,-80.2582201,POINT (-80.2582201 25.7339249)
260,W073763-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 10:27 AM,"4425 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7311207,-80.2579433,POINT (-80.2579433 25.7311207)
261,W073762-120822,Storm Drain / Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,12/8/2022 10:09 AM,"363 Granello Avenue, Coral Gables, FL 33146, United States of America",25.7293959,-80.2612233,POINT (-80.2612233 25.7293959)
262,W073758-120822,Storm Drain/ Catch Basin,Completed,Medium,PW- Permits Section: Internal Use,12/8/2022 9:56 AM,"4101 Salzedo Street, Coral Gables, FL 33146, United States of America",25.7338916,-80.2600642,POINT (-80.2600642 25.7338916)
263,W073754-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 9:41 AM,"4531 Ponce De Leon Blvd Cu, Coral Gables, FL 33146, United States of America",25.729631,-80.260031,POINT (-80.260031 25.729631)
264,W073751-120822,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/8/2022 9:35 AM,"4119 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7333923,-80.2581932,POINT (-80.2581932 25.7333923)
265,W073742-120722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,12/7/2022 4:43 PM,"4203 Ponce de Leon Boulevard, Coral Gables, FL 33146, United States of America",25.7330455,-80.2581766,POINT (-80.2581766 25.7330455)
266,W073503-113022,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW - Central and Engineering,11/30/2022 2:59 PM,"8271 La Rampa Street, Coral Gables, FL 33143, United States of America",25.6950341,-80.2648608,POINT (-80.2648608 25.6950341)
267,W073430-112822,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW - Central and Engineering,11/28/2022 3:19 PM,"1315 Obispo Avenue, Coral Gables, FL 33134, United States of America",25.7551744,-80.28262798,POINT (-80.28262798 25.7551744)
268,W073262-112122,(Internal) - Drainage Assessments/Improvements,Assigned,Medium,PW - Central and Engineering,11/21/2022 12:56 PM,"6945 Granada Boulevard, Coral Gables, FL 33146, United States of America",25.7061733,-80.2624814,POINT (-80.2624814 25.7061733)
269,W073258-112122,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/21/2022 12:01 PM,"2023 Red Road, Miami, FL 33155-2230, United States of America",25.7522056,-80.28713359,POINT (-80.28713359 25.7522056)
270,W073256-112122,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/21/2022 11:32 AM,"6815 Edgewater Drive, Coral Gables, FL 33133, United States of America",25.7073235,-80.2516442,POINT (-80.2516442 25.7073235)
271,W073247-112122,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/21/2022 10:33 AM,"235 Sidonia Avenue, Coral Gables, FL 33134, United States of America",25.7602197,-80.2602102,POINT (-80.2602102 25.7602197)
272,W073161-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 1:50 PM,"3222 Riviera Drive, Coral Gables, FL 33134, United States of America",25.74058095,-80.27254767,POINT (-80.27254767 25.74058095)
273,W073160-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 1:44 PM,"3618 Riviera Court, Coral Gables, FL 33134, United States of America",25.7379385,-80.26365112,POINT (-80.26365112 25.7379385)
274,W073159-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 1:41 PM,"420 Sarto Avenue, Coral Gables, FL 33134, United States of America",25.74065385,-80.26321462,POINT (-80.26321462 25.74065385)
275,W073158-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 1:39 PM,"3601 Riviera Drive, Coral Gables, FL 33134, United States of America",25.7385099,-80.26416058,POINT (-80.26416058 25.7385099)
276,W073154-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/202211:55AM,"580 University Drive, Coral Gables, FL 33134, United States of America",25.73828955,-80.26592442,POINT (-80.26592442 25.73828955)
277,W073152-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/202211:52AM,"3911 Riviera Drive, Coral Gables, FL 33134, United States of America",25.7358406,-80.26400405,POINT (-80.26400405 25.7358406)
278,W073151-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 11:48 AM,"400 University Drive, Coral Gables, FL 33134, United States of America",25.74155915,-80.26278154,POINT (-80.26278154 25.74155915)
279,W073149-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 11:44 AM,"3714 Harlano Street, Coral Gables, FL 33134, United States of America",25.73702655,-80.26547256,POINT (-80.26547256 25.73702655)
280,W073147-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 11:41 AM,"3408 Toledo Street, Coral Gables, FL 33134, United States of America",25.73930485,-80.2715439,POINT (-80.2715439 25.73930485)
281,W073146-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 11:29 AM,"3901 Toledo Street, Coral Gables, FL 33134, United States of America",25.73510575,-80.27080136,POINT (-80.27080136 25.73510575)
282,W073142-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 11:04 AM,"914 Malaga Avenue, Coral Gables, FL 33134, United States of America",25.7423755,-80.27320952,POINT (-80.27320952 25.7423755)
283,W073140-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/202211:01 AM,"718 Catalonia Avenue, Coral Gables, FL 33134, United States of America",25.7437229,-80.26938782,POINT (-80.26938782 25.7437229)
284,W073138-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:58 AM,"711 University Drive, Coral Gables, FL 33134, United States of America",25.73659405,-80.26856561,POINT (-80.26856561 25.73659405)
285,W073137-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:56 AM,"612 Candia Avenue, Coral Gables, FL 33134, United States of America",25.73589365,-80.26676868,POINT (-80.26676868 25.73589365)
286,W073136-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:54 AM,"3410 Anderson Road, Coral Gables, FL 33134, United States of America",25.73943305,-80.27073705,POINT (-80.27073705 25.73943305)
287,W073135-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:50 AM,"3936 Palmarito Street, Coral Gables, FL 33134, United States of America",25.7348529,-80.26853945,POINT (-80.26853945 25.7348529)
288,W073134-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:33 AM,"659 Catalonia Avenue, Coral Gables, FL 33134, United States of America",25.7442629,-80.26841112,POINT (-80.26841112 25.7442629)
289,W073133-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/202210:31 AM,"3211 Anderson Road, Coral Gables, FL 33134, United States of America",25.7411723,-80.27025595,POINT (-80.27025595 25.7411723)
290,W073132-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 10:27 AM,"625 University Drive, Coral Gables, FL 33134, United States of America",25.7371933,-80.26769434,POINT (-80.26769434 25.7371933)
291,W073131-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/202210:21 AM,"636 Malaga Avenue, Coral Gables, FL 33134, United States of America",25.74311275,-80.2678366,POINT (-80.2678366 25.74311275)
292,W073130-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/202210:19AM,"800 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7441723,-80.27096251,POINT (-80.27096251 25.7441723)
293,W073129-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/202210:16AM,"914 Malaga Avenue, Coral Gables, FL 33134, United States of America",25.7423755,-80.27320952,POINT (-80.27320952 25.7423755)
294,W073125-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:44 AM,"636 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7445378,-80.26781207,POINT (-80.26781207 25.7445378)
295,W073124-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:39 AM,"3901 Toledo Street, Coral Gables, FL 33134, United States of America",25.73510575,-80.27080136,POINT (-80.27080136 25.73510575)
296,W073123-111722,Storm Drain / Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:32 AM,"3600 Toledo Street, Coral Gables, FL 33134, United States of America",25.73791015,-80.27141798,POINT (-80.27141798 25.73791015)
297,W073122-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:29 AM,"647 Escobar Avenue, Coral Gables, FL 33134, United States of America",25.7384416,-80.26812078,POINT (-80.26812078 25.7384416)
298,W073120-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:25 AM,"630 Escobar Avenue, Coral Gables, FL 33134, United States of America",25.73795115,-80.26754375,POINT (-80.26754375 25.73795115)
299,W073119-111722,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/17/2022 9:22 AM,"3900 Anderson Road, Coral Gables, FL 33134, United States of America",25.73518665,-80.27045115,POINT (-80.27045115 25.73518665)
300,W073101-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 4:31 PM,"748 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7444072,-80.27048361,POINT (-80.27048361 25.7444072)
301,W073099-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 4:26 PM,"635 Escobar Avenue, Coral Gables, FL 33134, United States of America",25.73843705,-80.2677068,POINT (-80.2677068 25.73843705)
302,W073095-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 4:13 PM,"3250 Riviera Drive, Coral Gables, FL 33134, United States of America",25.7405919,-80.27076865,POINT (-80.27076865 25.7405919)
303,W073094-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 4:11 PM,"3294 Riviera Drive, Coral Gables, FL 33134, United States of America",25.74064405,-80.26699759,POINT (-80.26699759 25.74064405)
304,W073093-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 4:01 PM,"800 Palermo Avenue, Coral Gables, FL 33134, United States of America",25.7441723,-80.27096251,POINT (-80.27096251 25.7441723)
305,W073092-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 3:57 PM,"3100 Anderson Road, Coral Gables, FL 33134, United States of America",25.7423814,-80.27077675,POINT (-80.27077675 25.7423814)
306,W073084-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:54 PM,"3294 Riviera Drive, Coral Gables, FL 33134, United States of America",25.74064405,-80.26699759,POINT (-80.26699759 25.74064405)
307,W073082-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:20 PM,"3211 Anderson Road, Coral Gables, FL 33134, United States of America",25.7411723,-80.27025595,POINT (-80.27025595 25.7411723)
308,W073081-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:17 PM,"3600 Granada Boulevard, Coral Gables, FL 33134, United States of America",25.7384503,-80.27496887,POINT (-80.27496887 25.7384503)
309,W073079-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:15 PM,"3223 Riviera Drive, Coral Gables, FL 33134, United States of America",25.74112625,-80.27222259,POINT (-80.27222259 25.74112625)
310,W073078-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:12 PM,"3025 Toledo Street, Coral Gables, FL 33134, United States of America",25.74288195,-80.27247903,POINT (-80.27247903 25.74288195)
311,W073077-111622,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/16/2022 2:09 PM,"935 Malaga Avenue, Coral Gables, FL 33134, United States of America",25.742789,-80.27405495,POINT (-80.27405495 25.742789)
312,W073038-111522,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/15/2022 3:12 PM,"2900 Granada Boulevard, Coral Gables, FL 33134, United States of America",25.7440187,-80.27510503,POINT (-80.27510503 25.7440187)
313,W073037-111522,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/15/2022 3:10 PM,"3250 Riviera Drive, Coral Gables, FL 33134, United States of America",25.7405919,-80.27076865,POINT (-80.27076865 25.7405919)
314,W073036-111522,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/15/2022 3:08 PM,"3308 Toledo Street, Coral Gables, FL 33134, United States of America",25.7403324,-80.27232335,POINT (-80.27232335 25.7403324)
315,W073035-111522,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/15/2022 3:06 PM,"701 Aledo Avenue, Coral Gables, FL 33134, United States of America",25.73943965,-80.2683267,POINT (-80.2683267 25.73943965)
316,W073034-111522,Storm Drain/ Catch Basin,Completed,Medium,PW - Utilities,11/15/2022 2:44 PM,"616 Camilo Avenue, Coral Gables, FL 33134, United States of America",25.73979825,-80.26703875,POINT (-80.26703875 25.73979825)
